#,Company,Job Title,Application Date,Status,Contact Person,Contact Email
307,Visa,—,2026-09-23,3.7/5,,
306,Waymo,—,2026-09-23,3.5/5,,
305,Ema,—,2026-09-23,3.8/5,,
304,BridgeBio,—,2026-09-23,2.9/5,,
303,Linktree,—,2026-09-23,3.9/5,,
302,Quest Software,—,2026-09-23,4.3/5,,
301,Quantum Metric,—,2026-09-23,3.4/5,,
300,Ketch,—,2026-09-23,3.6/5,,
299,Elfina Health,—,2026-09-22,1.8/5,,
298,Mesa School of Business,—,2026-09-22,2.0/5,,
296,Coinbase,—,2026-09-22,2.7/5,,
295,Affirm,—,2026-09-22,3.3/5,,
294,Affirm,—,2026-09-22,4.4/5,,
293,Affirm,—,2026-09-22,3.3/5,,
292,Affirm,—,2026-09-22,3.8/5,,
291,Affirm,—,2026-09-22,4.1/5,,
290,Affirm,—,2026-09-22,2.0/5,,
285,MedhaviOne,—,2026-09-22,4.2/5,,
283,Avataar Skincare Technologies,—,2026-09-22,3.2/5,,
282,Fivetran,—,2026-09-22,3.4/5,,
281,Fivetran,—,2026-09-22,3.9/5,,
280,Mixpanel,—,2026-09-22,4.2/5,,
279,DaySmart,—,2026-09-22,3.6/5,,
278,MRI Software,—,2026-09-22,3.8/5,,
277,Paraform,—,2026-09-22,4.1/5,,
276,Amazon Web Services (AWS),—,2026-09-22,3.6/5,,
275,NVIDIA,—,2026-09-22,2.8/5,,
274,Metaview,—,2026-09-22,3.6/5,,
273,TikTok,—,2026-09-22,4.2/5,,
272,Freshworks,—,2026-09-22,3.9/5,,
271,Amazon Web Services (AWS),—,2026-09-22,3.7/5,,
270,ByteBridge,—,2026-09-22,2.5/5,,
269,EOS IT Solutions,—,2026-09-22,2.7/5,,
268,KLA,—,2026-09-22,3.4/5,,
267,Sharon McMahon Education,—,2026-09-22,3.0/5,,
266,Blacksmith Agency,—,2026-09-22,3.5/5,,
265,Taglynk,—,2026-09-22,3.1/5,,
264,Flam,—,2026-09-22,3.8/5,,
263,Snapmint,—,2026-09-22,3.6/5,,
262,Hevo Data,—,2026-09-22,3.5/5,,
261,Revolut,—,2026-09-22,4.2/5,,
260,Heavenly Secrets,—,2026-09-22,3.4/5,,
259,Confluent,—,2026-09-22,1.9/5,,
258,Confluent,—,2026-09-22,1.9/5,,
257,Deputy,—,2026-09-22,3.9/5,,
256,Artisan Partners,—,2026-09-22,3.6/5,,
255,Avathon,—,2026-09-22,3.7/5,,
254,Valon,—,2026-09-22,2.3/5,,
253,CrowdStrike,—,2026-09-22,3.2/5,,
252,CrowdStrike,—,2026-09-22,2.2/5,,
251,Apollo.io,—,2026-09-22,3.7/5,,
250,Apollo.io,—,2026-09-22,2.9/5,,
249,ZoomInfo,—,2026-09-22,3.4/5,,
248,ZoomInfo,—,2026-09-22,2.2/5,,
247,Zuora,—,2026-09-22,3.7/5,,
246,Airwallex,—,2026-09-22,3.9/5,,
245,Airwallex,—,2026-09-22,3.1/5,,
244,TogetherAI,—,2026-09-22,3.6/5,,
243,Druva,—,2026-09-22,3.7/5,,
242,ModernTreasury,—,2026-09-22,2.5/5,,
241,Hightouch,—,2026-09-22,2.1/5,,
240,Workhelix,—,2026-09-22,2.7/5,,
239,Workstream,—,2026-09-22,3.4/5,,
238,Sierra,—,2026-09-22,4.4/5,,
237,Visa,—,2026-09-22,4.3/5,,
236,Databricks,—,2026-09-22,2.4/5,,
235,Databricks,—,2026-09-22,1.9/5,,
234,Databricks,—,2026-09-22,2.0/5,,
233,Databricks,—,2026-09-22,1.9/5,,
232,Databricks,—,2026-09-22,2.7/5,,
231,Databricks,—,2026-09-22,1.9/5,,
230,Databricks,—,2026-09-22,2.2/5,,
229,Databricks,—,2026-09-22,2.5/5,,
228,Databricks,—,2026-09-22,1.6/5,,
227,Databricks,—,2026-09-22,2.4/5,,
226,Databricks,—,2026-09-22,1.3/5,,
225,Center for AI Safety,—,2026-09-22,3.2/5,,
224,?,—,2026-09-22,3.3/5,,
223,?,—,2026-09-22,2.4/5,,
221,?,—,2026-09-22,3.2/5,,
220,ElevenX Capital,—,2026-09-22,2.0/5,,
219,Landeed,—,2026-09-22,2.4/5,,
216,Blinkit,—,2026-09-22,2.8/5,,
215,Airwallex,—,2026-09-21,2.6/5,,
214,Airwallex,—,2026-09-21,2.1/5,,
213,Airwallex,—,2026-09-21,2.6/5,,
212,Airwallex,—,2026-09-21,4.3/5,,
211,Plaid,—,2026-09-21,2.4/5,,
210,Plaid,—,2026-09-21,2.2/5,,
209,Plaid,—,2026-09-21,3.2/5,,
208,Plaid,—,2026-09-21,3.0/5,,
207,Merito,—,2026-09-21,2.4/5,,
205,Darwinbox,—,2026-09-21,4.1/5,,
204,Lagrange Point International,—,2026-09-21,3.6/5,,
203,SoFi,—,2026-09-21,4.0/5,,
202,Robinhood,—,2026-09-21,2.7/5,,
201,Snap Inc.,—,2026-09-21,3.6/5,,
187,Twilio,—,2026-09-21,3.4/5,,
186,Percona,—,2026-09-21,3.2/5,,
185,hive.co,—,2026-09-21,3.0/5,,
184,Brex,—,2026-09-20,3.1/5,,
183,Airwallex,—,2026-09-20,3.4/5,,
182,Airwallex,—,2026-09-20,3.4/5,,
181,Baseten,—,2026-09-20,3.6/5,,
180,Revolut,—,2026-09-20,3.9/5,,
179,Writer,—,2026-09-20,3.9/5,,
178,Airwallex,—,2026-09-20,4.0/5,,
177,Brex,—,2026-09-20,4.1/5,,
176,Airwallex,—,2026-09-20,4.1/5,,
175,Harvey,—,2026-09-20,4.2/5,,
174,Airwallex,—,2026-09-20,4.2/5,,
173,Airwallex,—,2026-09-20,4.2/5,,
172,LangChain,—,2026-09-20,4.3/5,,
171,Scopex,—,2026-09-20,3.4/5,,
170,Aseflow Wellness,—,2026-09-20,2.1/5,,
169,Databricks,—,2026-09-20,1.7/5,,
168,Databricks,—,2026-09-20,2.4/5,,
167,Rula,—,2026-09-20,2.6/5,,
166,ScaleAI,—,2026-09-20,3.1/5,,
165,ScaleAI,—,2026-09-20,2.4/5,,
164,ScaleAI,—,2026-09-20,2.9/5,,
163,ScaleAI,—,2026-09-20,1.6/5,,
162,ScaleAI,—,2026-09-20,2.3/5,,
161,ScaleAI,—,2026-09-20,3.9/5,,
160,ScaleAI,—,2026-09-20,2.6/5,,
159,ScaleAI,—,2026-09-20,4.1/5,,
158,?,—,2026-09-19,4.3/5,,
157,Scale AI,—,2026-09-19,3.8/5,,
156,Together AI,—,2026-09-19,2.6/5,,
155,Together AI,—,2026-09-19,2.9/5,,
154,Workato,—,2026-09-19,2.1/5,,
153,Workato,—,2026-09-19,2.2/5,,
152,Demandbase,—,2026-09-19,2.3/5,,
151,Instacart,—,2026-09-19,2.8/5,,
150,Poshmark,—,2026-09-19,2.7/5,,
149,Robinhood,—,2026-09-19,2.9/5,,
148,MongoDB,—,2026-09-19,2.8/5,,
147,Vercel,—,2026-09-19,4.2/5,,
146,Vercel,—,2026-09-19,3.3/5,,
145,Plaid,—,2026-09-19,4.0/5,,
144,Cursor,—,2026-09-19,4.0/5,,
143,Intercom,—,2026-09-19,4.1/5,,
142,6sense,—,2026-09-19,2.0/5,,
141,6sense,—,2026-09-19,3.4/5,,
140,NVIDIA,—,2026-09-19,2.0/5,,
139,ŌURA,—,2026-09-19,2.6/5,,
138,Column,—,2026-09-19,3.7/5,,
137,Drata,—,2026-09-19,3.1/5,,
136,Palo Alto Networks,—,2026-09-19,2.9/5,,
135,Fivetran,—,2026-09-19,3.0/5,,
134,Zip,—,2026-09-19,3.4/5,,
133,Cyngn,—,2026-09-19,3.0/5,,
132,Warner Bros. Discovery,—,2026-09-19,2.7/5,,
131,Amazon Web Services (AWS),—,2026-09-19,2.4/5,,
130,Amazon Web Services (AWS),—,2026-09-19,4.2/5,,
129,Decagon,—,2026-09-19,4.0/5,,
128,Affirm,—,2026-09-19,4.1/5,,
127,Affirm,—,2026-09-19,4.1/5,,
126,Turo,—,2026-09-19,3.4/5,,
125,Happen Bank,—,2026-09-19,3.1/5,,
124,Seyfarth Shaw LLP,—,2026-09-19,3.3/5,,
123,Intel,—,2026-09-19,3.2/5,,
122,"Monolithic Power Systems, Inc.",—,2026-09-19,3.9/5,,
121,Pendo,—,2026-09-19,4.2/5,,
120,Qure.ai,—,2026-09-19,3.6/5,,
119,BukuKas,—,2026-09-19,3/5,,
118,Coral Academy,—,2026-09-19,3/5,,
117,Safle,—,2026-09-19,3/5,,
116,Instahyre,—,2026-09-19,3/5,,
115,Pigment,—,2026-09-19,3.1/5,,
114,Tranzact,—,2026-09-19,3.1/5,,
113,Veeva Systems,—,2026-09-19,3.2/5,,
112,Mainstreet,—,2026-09-19,3.2/5,,
111,Veeva Systems,—,2026-09-19,3.3/5,,
110,Groww,—,2026-09-19,3.3/5,,
109,Magma Consultancy,—,2026-09-19,3.3/5,,
108,Cypherock Wallet,—,2026-09-19,3.4/5,,
107,PGAGI,—,2026-09-19,3.4/5,,
106,Chtrbox,—,2026-09-19,3.4/5,,
105,AI Fund,—,2026-09-19,3.4/5,,
104,Veeva Systems,—,2026-09-19,3.5/5,,
103,Gushwork,—,2026-09-19,3.5/5,,
102,Veeva Systems,—,2026-09-19,3.6/5,,
101,Voice Arena,—,2026-09-19,3.6/5,,
100,Nilah Advisors,—,2026-09-19,3.6/5,,
99,Windfall,—,2026-09-19,3.7/5,,
98,MIRAGGIO,—,2026-09-19,3.7/5,,
97,Tint,—,2026-09-19,3.1/5,,
96,Adobe,—,2026-09-19,3.4/5,,
95,Benchling,—,2026-09-19,3.7/5,,
94,Cisco,—,2026-09-19,4.3/5,,
93,Reevo,—,2026-09-09,3.9/5,,
92,Sarvam AI,—,2026-05-30,3.4/5,,
91,Hyperbound,—,2026-05-19,4.1/5,,
90,Gooseworks,—,2026-05-19,4.3/5,,
89,SyntheticFi,—,2026-05-19,4.0/5,,
88,NanoNets,—,2026-05-19,4.4/5,,
87,Anthropic,—,2026-05-18,2.5/5,,
86,Redis,—,2026-05-17,4.0/5,,
85,Amazon News,—,2026-05-16,4.1/5,,
84,Good Culture,—,2026-05-15,3.6/5,,
83,IntelliPro,—,2026-05-14,3.8/5,,
82,Faire,—,2026-05-14,4.4/5,,
81,Flagright,—,2026-05-13,4.0/5,,
80,Flagright,—,2026-05-13,4.4/5,,
79,YOOBIC,—,2026-05-13,3.9/5,,
78,Suite Studios,—,2026-05-13,4.3/5,,
77,Trade Coffee,—,2026-05-13,4.5/5,,
76,Handshake (Handshake AI),—,2026-05-13,4.4/5,,
75,Hightouch,—,2026-05-12,3.8/5,,
74,WHOOP,—,2026-05-12,4.5/5,,
73,The Nielsen Company,—,2026-05-08,4.3/5,,
72,"Skimmer (vertical B2B SaaS, pool service software)",—,2026-05-07,4.3/5,"Austin TX (Ashby JD shows on-site; Built In Austin lists ""Austin or Remote"" with over half team fully-remote, confirm at recruiter screen)",
71,"Idea Village (DTC accelerator, recruited via GR0)",—,2026-05-06,4.1/5,,
70,HelloFresh,—,2026-05-05,4.1/5,,
69,Monstro (stealth AI-finance),—,2026-05-05,4.4/5,,
68,Plaud Inc.,—,2026-05-05,4.2/5,,
67,Console (console.com),—,2026-05-01,4.3/5,"SPONSORSHIP UNKNOWN (Series A ~$30M raised, ex-Rippling founders may have precedent, confirm at recruiter screen, same risk shape as Truewind #59/Openmart #61)",
66,FedEx,—,2026-05-01,3.3/5,,
65,Sage (sage49 / NYC senior-living AI),—,2026-05-01,4.2/5,,
64,Keyfactor,—,2026-04-29,1.5/5,,
63,Newform (newform.ai),—,2026-04-29,4.5/5,,
62,Juicebox / PeopleGPT (YC S22),—,2026-04-28,4.5/5,,
61,Openmart (YC W24),—,2026-04-28,4.4/5,,
60,"Speak (usespeak.com, YC W17 unicorn)",—,2026-04-27,4.4/5,,
59,Truewind (YC W23),—,2026-04-27,4.3/5,,hiring@trytruewind.com
58,Flyntlok,—,2026-04-27,4.6/5,,
57,Resident (Resident Home),—,2026-04-27,4.2/5,,
56,Expel,—,2026-04-27,4.3/5,,
55,Etsy,—,2026-04-27,3.6/5,,
54,Button (Button Labs / usebutton.com),—,2026-04-27,4.2/5,,
53,Priceline,—,2026-04-27,4.1/5,,
52,Strava,—,2026-04-27,4.2/5,,
51,Strava,—,2026-04-27,4.0/5,,
50,OpenAI,—,2026-04-27,4.1/5,,
49,OpenAI,—,2026-04-27,3.5/5,,
48,OpenAI,—,2026-04-27,3.5/5,,
47,OpenAI,—,2026-04-27,4.0/5,,
46,JPMorgan Chase,—,2026-04-27,4.2/5,,
45,JPMorgan Chase,—,2026-04-27,4.2/5,,
44,Samsung SDS America,—,2026-04-27,4.4/5,,
43,HPE,—,2026-04-27,3.5/5,,
42,HPE,—,2026-04-27,4.2/5,,
41,Gartner,—,2026-04-26,4.0/5,,
40,Universal Robots (Teradyne Robotics),—,2026-04-24,4.6/5,,
39,Gong.io,—,2026-04-24,4.3/5,,
38,Mirakl,—,2026-04-23,4.5/5,,
37,The Nielsen Company,—,2026-04-23,4.3/5,,
36,The Nielsen Company,—,2026-04-23,3.8/5,,
35,Flip (FlipCX),—,2026-04-23,4.1/5,,
34,Mirage (Captions),—,2026-04-23,4.5/5,,
33,EnergySage (Schneider Electric),—,2026-04-23,4.7/5,,
32,Emergn,—,2026-04-23,4.2/5,,
31,Joveo,—,2026-04-22,4.8/5,,
30,Roku,—,2026-04-22,4.4/5,,
29,7AI (Seven AI),—,2026-04-22,4.7/5,,
28,Cummins,—,2026-04-22,4.0/5,,
27,Truist Bank,—,2026-04-22,4.0/5,,
26,Fintech Series B (client anon),—,2026-04-21,4.4/5,,
25,FedEx Dataworks,—,2026-04-21,4.4/5,,
24,Thumbtack,—,2026-04-20,4.0/5,,
23,Modern Life,—,2026-04-20,4.5/5,,
22,FedEx Freight,—,2026-04-20,3.9/5,,
21,Caterpillar,—,2026-04-20,4.5/5,,
20,Ramp,—,2026-04-20,4.5/5,LIKELY SPONSORS (30 LCAs FY2025 but eng/data/product concentrated - ask recruiter),
19,Prolific,—,2026-04-20,4.3/5,,
18,Wells Fargo,—,2026-04-17,4.2/5,,
17,Garner Health,—,2026-04-17,4.1/5,,
16,L'Oreal,—,2026-04-17,3.0/5,,
15,JPMorgan Chase,—,2026-04-17,4.3/5,,
14,CVS Health,—,2026-04-17,3.2/5,,
13,PepsiCo,—,2026-04-17,4.2/5,,
12,Steno,—,2026-04-17,3.9/5,,dayo.adiatu@steno.com
11,Applied Materials,—,2026-04-16,4.4/5,,
10,JPMorgan Chase,—,2026-04-16,4.0/5,,
9,Cisco,—,2026-04-16,4.1/5,,
8,Skydio,—,2026-04-16,4.3/5,,
7,Topsort,—,2026-04-16,4.6/5,,
6,StubHub,—,2026-04-15,4.4/5,,
5,TE Connectivity,—,2026-04-15,3.6/5,,
4,Autodesk,—,2026-04-15,4.5/5,,
3,Amazon,—,2026-04-15,3.8/5,,
2,TikTok Shop,—,2026-04-15,4.2/5,,
1,FedEx,—,2026-04-10,3.5/5,,
