Company,Job Title,Job URL,Date Created
FedEx Freight,"Advisor, Marketing Operations",https://careers.fedex.com/advisor-marketing-operations/job/P25-331686-1,2026-04-20
Modern Life,Marketing Manager,https://jobs.lever.co/modernlife/6d4c142f-12ee-465e-aa2f-1c537cdbb8e7,2026-04-20
Thumbtack,"Growth Marketing Manager, SEM",https://careers.thumbtack.com/jobs/7674995,2026-04-20
FedEx Dataworks,"Manager, Marketing - Growth",https://careers.fedex.com/manager-marketing-growth/job/P25-325906-1,2026-04-21
Fintech Series B (anon),Performance Marketing Manager,N/A (recruiter-led),2026-04-21
Truist Bank,Digital Marketing Manager,https://careers.truist.com/us/en/job/R0112980,2026-04-22
Roku,Ad Marketing Manager,https://www.weareroku.com/jobs/ad-marketing-manager-new-york-united-states-00bee8d9-03fd-458f-8aad-faafeb7321cb,2026-04-22
Joveo,Growth Manager,pasted-by-user,2026-04-22
Emergn,Growth Manager,https://emergn.pinpointhq.com/en/postings/4b47c974-fa6e-4a97-becc-261421e00cf6,2026-04-23
EnergySage (Schneider Electric),SEO Manager,https://careers-se.icims.com/jobs/115141/seo-manager/job?mode=view,2026-04-23
Mirage (Captions),Lifecycle Marketing Manager,https://jobs.ashbyhq.com/mirage/b0467709-2f7a-4876-b423-6553eb73b693,2026-04-23
Flip (FlipCX),Performance Marketing Manager,https://job-boards.greenhouse.io/flip/jobs/5170862008,2026-04-23
The Nielsen Company,Senior Digital Marketing Specialist I,https://jobs.smartrecruiters.com/TheNielsenCompany/3743990012776016-senior-digital-marketing-specialist-i,2026-04-23
The Nielsen Company,Senior Campaign Manager/Planner,https://jobs.smartrecruiters.com/TheNielsenCompany/3743990012775966-senior-campaign-manager-planner,2026-04-23
Mirakl,Digital Marketing Manager,https://job-boards.greenhouse.io/miraklamer/jobs/5790986004,2026-04-23
Gong.io,"Digital Marketing Manager, Paid Social",https://job-boards.greenhouse.io/gongio/jobs/4660547006,2026-04-24
Universal Robots (Teradyne Robotics),Paid Campaigns Manager,https://jobs.teradyne.com/Universal-Robots/job/Odense-Paid-Campaigns-Manager/1376503500/,2026-04-24
Gartner,Marketing Manager Paid Third-Party Programs (103566),https://gartner.wd5.myworkdayjobs.com/EXT/job/Irving-TX/Marketing-Manager--Paid-Third-Party-Programs_103566/apply?source=JB-10120,2026-04-26
HPE,"Product Marketing Manager, Private Cloud AI (1205895)",https://hpe.wd5.myworkdayjobs.com/acjobsite/job/spring-texas-united-states-of-america/product-marketing-manager---private-cloud-ai_1205895,2026-04-27
HPE,"Product Marketing Manager, Private Cloud (1205894)",https://hpe.wd5.myworkdayjobs.com/en-US/ACJobSite/job/Spring-Texas-United-States-of-America/Product-Marketing-Manager---Private-Cloud_1205894-3,2026-04-27
Samsung SDS America,"Digital Marketing Strategist, B2B SaaS (8D921D4B98)",https://apply.workable.com/samsung-sds-america/j/8D921D4B98/,2026-04-27
JPMorgan Chase,"Digital Marketing Senior Associate, Business Banking (210723833)",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210723833/,2026-04-27
JPMorgan Chase,"Senior Marketing Associate, Channel Strategy & Optimization (CSO) (210740121)",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210740121,2026-04-27
OpenAI,"Product Marketing Lead, Advertising",https://openai.com/careers/product-marketing-lead-advertising-san-francisco/,2026-04-27
OpenAI,Advertising Marketing Science Lead,https://openai.com/careers/advertising-marketing-science-lead-san-francisco/,2026-04-27
OpenAI,"Growth, Digital Marketing (Channel Leader, Paid Search/Social)",https://jobs.ashbyhq.com/openai/9d75be2c-5327-49b3-a778-157467b87620,2026-04-27
OpenAI,"Social Media Analyst, Rapid Response",https://openai.com/careers/social-media-analyst-san-francisco/,2026-04-27
Strava,Lead Marketing Analyst,https://jobs.ashbyhq.com/Strava/b84257fd-a8a3-48bc-951b-a619b0182cbe,2026-04-27
Strava,"B2B Manager, Growth Marketing, Retention",https://jobs.ashbyhq.com/Strava/caebdd54-dd4d-49a2-a835-476e9746c2fb,2026-04-27
Priceline,App Growth Specialist (R5493),https://priceline.wd1.myworkdayjobs.com/Priceline/job/Norwalk-CT/App-Growth-Specialist_R5493,2026-04-27
Button (Button Labs / usebutton.com),Growth Lead,https://jobs.ashbyhq.com/button/87e50c06-84ed-4e3c-b920-b07339fec92a,2026-04-27
Etsy,"Program Manager, Customer Operations (JR5554)",https://etsy.wd5.myworkdayjobs.com/Etsy_Careers/job/Brooklyn-New-York/Program-Manager--Customer-Operations_JR5554-1,2026-04-27
Expel,Performance Marketing Manager,https://expel.com/about/career-listing/?gh_jid=8358848002,2026-04-27
Resident (Resident Home),"Growth Marketing Manager, Paid Social (Newton Baby)",https://job-boards.greenhouse.io/residenthome/jobs/5820726004,2026-04-27
Flyntlok,Growth Marketing Manager,https://www.linkedin.com/jobs/view/4406662757/,2026-04-27
Truewind (YC W23),Growth Generalist,https://www.ycombinator.com/companies/truewind/jobs/DdVPvVF-growth-generalist,2026-04-27
Speak (usespeak.com),Marketing Analyst,https://jobs.ashbyhq.com/speak/30cfddbe-31c2-4ddb-a4eb-7696022271c2,2026-04-27
Openmart (YC W24),Growth Lead,https://www.workatastartup.com/jobs/92972,2026-04-28
Juicebox / PeopleGPT (YC S22),Content Marketing Manager,https://www.workatastartup.com/jobs/93074,2026-04-28
Newform,Growth Marketing Manager,https://jobs.ashbyhq.com/newform/e03073d3-12cb-4b41-b3be-8aecdf3c01b7/application,2026-04-29
Keyfactor,Growth Marketing Manager (SKIP - work auth filter),https://www.keyfactor.com/jobs/keyfactorinc/growth-marketing-manager/?gh_jid=5977219004,2026-04-29
Sage,Demand Generation Manager,https://job-boards.greenhouse.io/sage49/jobs/5982599004,2026-05-01
FedEx,Digital Marketing Advisor (Recommend against - Plano relo + 5-10yr enterprise SEO),https://careers.fedex.com/digital-marketing-advisor/job/P25-334763-1,2026-05-01
Console (console.com),Growth Marketing Manager,https://jobs.ashbyhq.com/console/29431d95-909e-4bb7-a750-5162e26f2ecd,2026-05-01
FedEx,Digital Marketing Advisor (Enterprise SEO/GEO - user override),https://careers.fedex.com/digital-marketing-advisor/job/P25-334763-1,2026-05-01
Plaud Inc.,Lifecycle Marketing Senior Specialist,https://jobright.ai/jobs/info/b2b_1777427132848_489,2026-05-05
Monstro,"Growth Marketing Manager, B2B Demand Generation",https://job-boards.greenhouse.io/monstro/jobs/4238293009,2026-05-05
HelloFresh,"Marketing Manager, Paid Search",https://job-boards.greenhouse.io/embed/job_app?for=hellofresh&token=7874237,2026-05-05
Idea Village (recruited via GR0),Head of Digital Growth,https://www.linkedin.com/jobs/view/4407655866/,2026-05-06
Skimmer,Product Marketing Manager,https://jobs.ashbyhq.com/skimmer/e39cfb02-00a6-4177-8944-65d92db188a0,2026-05-07
The Nielsen Company,Digital Campaign Manager,https://jobs.smartrecruiters.com/TheNielsenCompany/3743990013046758-digital-campaign-manager,2026-05-08

WHOOP,Senior Business Analyst (Growth Marketing),https://jobs.lever.co/whoop/3db1cade-dc17-4a57-b7fe-29addea39b84,2026-05-12
Hightouch,AI Operations GTM,https://job-boards.greenhouse.io/hightouch/jobs/5823552004,2026-05-12
Handshake (Handshake AI),Senior Growth Marketer,https://joinhandshake.com/careers/job/?ashby_jid=de0495be-c3f0-4b2a-9ad2-814deae92bcf,2026-05-13
Trade Coffee,Growth Marketing Manager,https://www.linkedin.com/jobs/view/4412988621,2026-05-13
Suite Studios,Growth Marketing Manager AI,https://jobs.ashbyhq.com/Suite-Studios/ae2f1de4-21e2-4ae6-abe8-b72585b4ac01,2026-05-13
YOOBIC,ABM Growth Marketing Manager,https://careers.yoobic.com/jobs/7507457-abm-growth-marketing-manager,2026-05-13
Flagright,Performance Marketing Manager,https://www.workatastartup.com/jobs/94411,2026-05-13
Flagright,Founding Growth Strategist,https://www.workatastartup.com/jobs/94422,2026-05-13
YC Work at a Startup,Generic (AI Growth / Founding Marketer / Product),https://www.workatastartup.com/resume,2026-05-13
Confido,Founding Growth,https://jobs.ashbyhq.com/confido/db86da61-f0c7-43ee-8388-a92898948fa8,2026-05-13
Tavus,Marketer (Brand Product Storytelling),https://jobs.ashbyhq.com/tavus/92825c94-b8aa-45af-8a60-fac303bee9ab,2026-05-13
Conveo,Marketing Associate,https://jobs.ashbyhq.com/conveo/076a9ae0-7721-4676-ab2d-aec8c34a5511,2026-05-13
Uplane,AI Marketing Strategist Bundle,https://jobs.ashbyhq.com/uplane/7c2e963a-01bb-4007-8b66-4e46521049f4,2026-05-13
NAPA Auto Parts,Pricing Manager (Jobber),https://www.linkedin.com/jobs/view/4413456299/,2026-05-13
Benchling,Product Marketing Manager Platform,https://www.linkedin.com/jobs/view/4383897878/,2026-05-14
Grindr,Senior Product Marketing Manager Core,https://www.linkedin.com/jobs/view/4312939225/,2026-05-14
Base44,Product Marketing Manager,https://www.linkedin.com/jobs/view/4410717883/,2026-05-14
Attentive,Principal Product Marketing Manager,https://www.linkedin.com/jobs/view/4405457495/,2026-05-14
Responsive,Product Marketing Manager,https://www.linkedin.com/jobs/view/4411179603/,2026-05-14
Samsara,Sr. Growth Marketing Manager - New Products,https://www.linkedin.com/jobs/view/4402836162/,2026-05-14
AWS,Tech Product Marketing Manager (Edge Networking),https://www.linkedin.com/jobs/view/4384162567/,2026-05-14
Otter.ai,Growth Marketing Manager Paid Acquisition,https://www.linkedin.com/jobs/view/4414559406/,2026-05-14
Capital One,Performance Marketing Manager,https://www.linkedin.com/jobs/view/4406857481/,2026-05-14
Sonatype,Performance Marketing Manager,https://www.linkedin.com/jobs/view/4414191502/,2026-05-14
Dyson,Revenue Growth Manager Refurbished Products,https://www.linkedin.com/jobs/view/4393953479/,2026-05-14
Omada Health,Senior Member Growth Manager,https://www.linkedin.com/jobs/view/4402494100/,2026-05-14
Nielsen,Strategic Growth Manager Analytics,https://www.linkedin.com/jobs/view/4410649583/,2026-05-14
Fractal,Account Growth Manager Boston,https://www.linkedin.com/jobs/view/4414403143/,2026-05-14
Faire,"Growth Marketing Manager, Paid Social",https://job-boards.greenhouse.io/faire/jobs/8541548002?gh_jid=8541548002,5/14/2026
IntelliPro,Digital Advertising Manager,https://www.linkedin.com/jobs/view/4414677395/,5/14/2026
Good Culture,Digital Marketing Manager,https://app.trinethire.com/companies/414526-good-culture/jobs/120419-digital-marketing-manager,5/15/2026
Amazon News,SEO/GEO Manager,https://www.amazon.jobs/en/jobs/10416503/seo-geo-manager-amazon-news,5/16/2026
Redis,Growth Marketing Analyst,https://redis.io/company/careers/growth-marketing-analyst-90a4a067-6944-4c8b-8bb2-bae56be54be7/?ashby_jid=90a4a067-6944-4c8b-8bb2-bae56be54be7,5/17/2026
Anthropic,Fellows Program (Economics & Policy),https://job-boards.greenhouse.io/anthropic/jobs/5023394008,5/18/2026
Sarvam AI,Product Manager Growth,https://jobs.ashbyhq.com/sarvam/929e2e12-7a2f-4e28-9d27-f220910b2125,5/30/2026
GTM Manager (general),Product Marketing / GTM Manager,,7/29/2026
Reevo,Builder - Product Marketing Lead,https://jobs.ashbyhq.com/reevo/a27e12ce-599b-444e-bb12-2a3c103f9524,9/9/2026
Cisco,Pricing Business Analyst,https://zapply.jobs/l/d/workday-cisco-cisco-careers-2023520?s=gh-new-grad-jobs-2027,9/19/2026
Benchling,Product Manager Platform,https://zapply.jobs/l/d/ashby-benchling-358ff26c-7b23-4645-b906-2244c76e2cb2?s=gh-new-grad-jobs-2027,9/19/2026
Adobe,Product Manager,https://zapply.jobs/l/d/workday-adobe-external-experienced-R170204?s=gh-new-grad-jobs-2027,9/19/2026
Tint,Associate Product Manager,https://job-boards.greenhouse.io/tintai/jobs/4736081005,9/19/2026
? (confidential fintech lending),Founders' Office - Fintech Late Stage Portfolio,https://www.linkedin.com/jobs/view/4456217221/,9/20/2026
Vercel,Performance Marketing Manager,https://job-boards.greenhouse.io/vercel/jobs/6011904004,9/20/2026
Pendo,Sr. Product Marketing Manager,https://job-boards.greenhouse.io/pendo/jobs/8558208002,9/20/2026
Amazon Web Services (AWS),Specialist Strategy & Sales Operations Lead,https://www.linkedin.com/jobs/view/4460819003,9/20/2026
Airwallex,Senior Product Manager T:0 (Agentic) Finance,https://jobs.ashbyhq.com/airwallex/2c7d5655-3bef-40ec-9455-fe129b7c09e8,9/21/2026
Airwallex,"Manager, Performance Marketing, Paid Social",https://jobs.ashbyhq.com/airwallex/1f5ce4c8-f361-412b-be49-1ccbb1262684,9/21/2026
Airwallex,"Manager, Performance Marketing, Paid Search",https://jobs.ashbyhq.com/airwallex/dab5e7c1-b168-4680-bb63-ff262b23be81,9/21/2026
Harvey,"Senior Performance Marketing Manager, Paid Social",https://jobs.ashbyhq.com/harvey/b26ccc21-fb10-4428-90be-a7af2076ff77,9/21/2026
ScaleAI,Enterprise Deal Desk Analyst,https://job-boards.greenhouse.io/scaleai/jobs/4725451005,9/21/2026
Intercom,Senior Sales Operations Manager,https://job-boards.greenhouse.io/intercom/jobs/8196135,9/21/2026
Affirm,Revenue Operations Lead (San Jose, CA),https://www.linkedin.com/jobs/view/4459435975,9/21/2026
Affirm,Revenue Operations Lead (San Francisco, CA),https://www.linkedin.com/jobs/view/4459434906,9/21/2026
Airwallex,Product Marketing Manager, Spend,https://jobs.ashbyhq.com/airwallex/d48dec2b-e5ba-444d-8790-aa77c23b2aea,9/21/2026
Brex,Senior Growth Marketing Manager, Paid Social,https://www.brex.com/careers/8782292002?gh_jid=8782292002,9/21/2026
Darwinbox,Chief of Staff,https://www.linkedin.com/jobs/view/4459686299/,9/21/2026
Plaid,Product Marketing Manager - Payments,https://jobs.ashbyhq.com/plaid/2482391e-a6c0-433f-9f6d-5221ee296d22,9/21/2026
Decagon,Revenue Operations Associate,https://www.linkedin.com/jobs/view/4450772527,9/21/2026
Cursor,Deal Desk Analyst - Americas,https://jobs.ashbyhq.com/cursor/4a1f9223-627b-4582-a038-0d7005d7a31d,9/21/2026
SoFi,"Pricing Analyst, Lending",https://sofi.com/careers/job/7820964003?gh_jid=7820964003,9/21/2026
Airwallex,"Manager, Performance Marketing, Brandformance",https://jobs.ashbyhq.com/airwallex/1a424b60-e6c0-4b21-8a42-4b0da4589b5a,9/21/2026
ScaleAI,"Product Marketing Lead, Enterprise",https://job-boards.greenhouse.io/scaleai/jobs/4722998005,9/21/2026
Monolithic Power Systems,Product Marketing Manager (Power Modules),https://www.linkedin.com/jobs/view/4450799653,9/21/2026
Writer,Senior paid marketing manager,https://jobs.ashbyhq.com/writer/44a78f04-6415-4a5c-949d-e29bfbd271d5,9/21/2026
Revolut,Product Strategy Managers - CEO Office,https://www.linkedin.com/posts/drup-kubadia_were-hiring-for-product-strategy-managers-activity-7497876224178876416-lMz5,9/21/2026
ScaleAI,AI Product Manager (Coding/Multimodal),https://job-boards.greenhouse.io/scaleai/jobs/4609736005,9/21/2026
Windfall,Product Marketing Manager,https://jobs.lever.co/windfalldata/d64fdf52-6821-4dd1-b3dd-745ffd018eed,9/21/2026

MIRAGGIO,Head of Growth (D2C Lead),https://www.instahyre.com/job-399959-head-of-growth-d2c-lead-at-miraggio-gurgaon/,9/21/2026
Column,"Product Manager, Platform Tools",https://www.linkedin.com/jobs/view/4424259448,9/21/2026
Voice Arena,Head of Growth,https://www.jobleads.com/in/job/head-of-growth--gurugram-district--e3919922bc537869ae0a31231bf0f6269,9/21/2026
Veeva Systems,Product Marketing Manager / Senior Manager,https://jobs.lever.co/veeva/21abdfb7-f1e1-44cd-b63f-ae47b3f47617,9/21/2026
Qure.ai,CEO's Office (hiring post),https://www.linkedin.com/posts/pwarier_im-looking-for-12-people-to-join-me-in-activity-7499064896995790848-h1Aq?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo,9/21/2026
Sierra,Business Value Strategy and Operations,https://jobs.ashbyhq.com/sierra/de46bdfc-6417-4682-9ef1-a3ead059d369,9/22/2026
Visa,Strategy Associate - Cross Border Strategy & Operations,https://zapply.jobs/l/d/workday-visa-visa-REF087892W?s=gh-new-grad-jobs-2027,9/22/2026
Revolut,Entrepreneur in Residence,https://www.linkedin.com/jobs/view/4252983108/,9/22/2026
Deputy,Senior Regional Marketing Manager,https://jobs.lever.co/deputy/4a991c14-b1bf-4aed-9458-fae2df1c4af0,9/22/2026
Airwallex,Manager Growth Strategy and Operations (Experiments/Campaigns),https://jobs.ashbyhq.com/airwallex/9e31a887-9ba6-4a56-b083-adcd8b8e2cee,9/22/2026
Flam,Founder's Office Generalist (US Shift),https://www.linkedin.com/jobs/view/4458899403/,9/22/2026
