company	legal_name	industry	hq_state	size_band	ats	careers_url	h1b_known	source	first_seen	notes
PagerDuty	PagerDuty, Inc.	AI-native and Enterprise SaaS	CA	mid	greenhouse	https://boards.greenhouse.io/pagerduty	unchecked	ai-saas-search;greenhouse-probe(98)	2026-09-18	region:us; incident/ops management
IncidentIO	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/incident	unchecked	ai-saas-search;ashby-probe(29)	2026-09-18	region:us; brand is incident.io, board slug "incident"
Vanta	Vanta Inc.	AI-native and Enterprise SaaS	CA	mid	ashby	https://jobs.ashbyhq.com/vanta	unchecked	ai-saas-search;ashby-probe(93)	2026-09-18	region:us; security/compliance automation
Drata	Drata Inc.	AI-native and Enterprise SaaS	CA	mid	ashby	https://jobs.ashbyhq.com/drata	unchecked	ai-saas-search;ashby-probe(39)	2026-09-18	region:us; security/compliance automation
Secureframe	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/secureframe	unchecked	ai-saas-search;ashby-probe(14)	2026-09-18	region:us; also resolved on lever(15); security/compliance automation
WorkOS	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/workos	unchecked	ai-saas-search;ashby-probe(27)	2026-09-18	region:us; developer identity/auth infra
Clerk	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/clerk	unchecked	ai-saas-search;ashby-probe(1)	2026-09-18	region:us; developer auth infra, low posting count but board proven live
MongoDB	MongoDB, Inc.	AI-native and Enterprise SaaS	NY	large	greenhouse	https://boards.greenhouse.io/mongodb	unchecked	ai-saas-search;greenhouse-probe(6432)	2026-09-18	region:us; database platform
Confluent	Confluent, Inc.	AI-native and Enterprise SaaS	CA	mid	ashby	https://jobs.ashbyhq.com/confluent	unchecked	ai-saas-search;ashby-probe(21)	2026-09-18	region:us; data streaming platform
Fivetran	Fivetran Inc.	AI-native and Enterprise SaaS	CO	mid	greenhouse	https://boards.greenhouse.io/fivetran	unchecked	ai-saas-search;greenhouse-probe(591)	2026-09-18	region:us; data pipeline/ELT
Airbyte	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/airbyte	unchecked	ai-saas-search;ashby-probe(13)	2026-09-18	region:us; open-source data pipeline
Hex	?	AI-native and Enterprise SaaS	NY	startup	ashby	https://jobs.ashbyhq.com/hex	unchecked	ai-saas-search;ashby-probe(2)	2026-09-18	region:us; data notebook/analytics platform, low posting count but board proven live
SigmaComputing	?	AI-native and Enterprise SaaS	CA	mid	greenhouse	https://boards.greenhouse.io/sigmacomputing	unchecked	ai-saas-search;greenhouse-probe(65)	2026-09-18	region:us; BI/analytics platform
Glean	?	AI-native and Enterprise SaaS	CA	mid	greenhouse	https://boards.greenhouse.io/gleanwork	unchecked	ai-saas-search;greenhouse-probe(123)	2026-09-18	region:us; enterprise AI search; note board slug is "gleanwork" not "glean"
Writer	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/writer	unchecked	ai-saas-search;ashby-probe(51)	2026-09-18	region:us; enterprise generative AI platform
Sierra	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/sierra	unchecked	ai-saas-search;ashby-probe(210)	2026-09-18	region:us; AI customer agent platform (Bret Taylor)
Harvey	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/harvey	unchecked	ai-saas-search;ashby-probe(299)	2026-09-18	region:us; legal AI platform
Anysphere (Cursor)	Anysphere, Inc.	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/cursor	unchecked	ai-saas-search;ashby-probe(122)	2026-09-18	region:us; legal entity Anysphere, product/brand is Cursor; board slug "cursor"
Replit	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/replit	unchecked	ai-saas-search;ashby-probe(76)	2026-09-18	region:us; AI coding platform
Modal	Modal Labs, Inc.	AI-native and Enterprise SaaS	NY	startup	ashby	https://jobs.ashbyhq.com/modal	unchecked	ai-saas-search;ashby-probe(34)	2026-09-18	region:us; serverless AI infra
Baseten	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/baseten	unchecked	ai-saas-search;ashby-probe(100)	2026-09-18	region:us; AI model deployment infra
LangChain	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/langchain	unchecked	ai-saas-search;ashby-probe(106)	2026-09-18	region:us; LLM app framework
ElevenLabs	ElevenLabs Inc.	AI-native and Enterprise SaaS	NY	mid	ashby	https://jobs.ashbyhq.com/elevenlabs	unchecked	ai-saas-search;ashby-probe(235)	2026-09-18	region:us; AI voice/audio platform
UltraCleanHoldings	Ultra Clean Holdings, Inc.	Semiconductors and Industrial Tech	CA	large	smartrecruiters	https://jobs.smartrecruiters.com/uct	unchecked	semi-search;smartrecruiters-probe(5)	2026-09-18	region:us; semiconductor equipment subsystems
Synopsys	Synopsys, Inc.	Semiconductors and Industrial Tech	CA	large	unknown	https://www.synopsys.com/careers.html	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; EDA software; greenhouse/ashby/lever/smartrecruiters all returned 0, likely Workday/custom - vanity URL kept per instructions
Cadence	Cadence Design Systems, Inc.	Semiconductors and Industrial Tech	CA	large	unknown	https://www.cadence.com/en_US/home/company/careers.html	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; EDA software; no vendor resolved, vanity URL kept
Marvell	Marvell Technology, Inc.	Semiconductors and Industrial Tech	CA	large	unknown	https://careers.marvell.com	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; semiconductor solutions; no vendor resolved
AnalogDevices	Analog Devices, Inc.	Semiconductors and Industrial Tech	MA	large	ashby	https://jobs.ashbyhq.com/analog	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; analog/mixed-signal semiconductors; no vendor resolved | ats resolved 2026-09-22 by nightly-boards (probe:analog)
Micron	Micron Technology, Inc.	Semiconductors and Industrial Tech	ID	large	unknown	https://micron.com/careers	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; memory semiconductors; no vendor resolved
KLA	KLA Corporation	Semiconductors and Industrial Tech	CA	large	unknown	https://www.kla.com/careers	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; semiconductor process control equipment; no vendor resolved
LamResearch	Lam Research Corporation	Semiconductors and Industrial Tech	CA	large	unknown	https://www.lamresearch.com/careers	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; semiconductor fabrication equipment; no vendor resolved
Teradyne	Teradyne, Inc.	Semiconductors and Industrial Tech	MA	mid	unknown	https://www.teradyne.com/careers	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; automated test equipment; no vendor resolved
onsemi	ON Semiconductor Corporation	Semiconductors and Industrial Tech	AZ	large	unknown	https://www.onsemi.com/careers	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; power/sensing semiconductors; no vendor resolved
Skyworks	Skyworks Solutions, Inc.	Semiconductors and Industrial Tech	CA	large	unknown	https://www.skyworksinc.com/en/Careers	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; RF semiconductors; no vendor resolved
Qorvo	Qorvo, Inc.	Semiconductors and Industrial Tech	NC	large	unknown	https://careers.qorvo.com	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; RF semiconductors; no vendor resolved
MKSInstruments	MKS Instruments, Inc.	Semiconductors and Industrial Tech	MA	mid	unknown	https://www.mksinst.com/careers	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; process/instrumentation for semiconductor mfg; no vendor resolved
Entegris	Entegris, Inc.	Semiconductors and Industrial Tech	MA	mid	unknown	https://www.entegris.com/careers	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; materials science for semiconductor mfg; no vendor resolved
KeysightTechnologies	Keysight Technologies, Inc.	Semiconductors and Industrial Tech	CA	large	unknown	https://careers.keysight.com	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; test/measurement equipment; no vendor resolved
ZebraTechnologies	Zebra Technologies Corporation	Semiconductors and Industrial Tech	IL	mid	unknown	https://www.zebra.com/us/en/careers.html	unchecked	semi-search;no-vendor-resolved	2026-09-18	region:us; industrial sensing/IoT/scanning hardware; no vendor resolved
Plaid	Plaid Inc.	Fintech and Payments	CA	mid	ashby	https://jobs.ashbyhq.com/plaid	unchecked	fintech-search;ashby-probe(114)	2026-09-18	region:us
Brex	Brex Inc.	Fintech and Payments	CA	mid	greenhouse	https://boards.greenhouse.io/brex	unchecked	fintech-search;greenhouse-probe(502)	2026-09-18	region:us; spend management/corporate cards
Mercury	Mercury Technologies, Inc.	Fintech and Payments	CA	mid	greenhouse	https://boards.greenhouse.io/mercury	unchecked	fintech-search;greenhouse-probe(130)	2026-09-18	region:us; banking for startups
Affirm	Affirm, Inc.	Fintech and Payments	CA	mid	greenhouse	https://boards.greenhouse.io/affirm	unchecked	fintech-search;greenhouse-probe(597)	2026-09-18	region:us; BNPL/lending
Airwallex	?	Fintech and Payments	CA	mid	ashby	https://jobs.ashbyhq.com/airwallex	unchecked	fintech-search;ashby-probe(577)	2026-09-18	region:us; cross-border payments; multi-HQ (Melbourne/Singapore), real SF office
Wise	?	Fintech and Payments	TX	large	smartrecruiters	https://jobs.smartrecruiters.com/wise	unchecked	fintech-search;smartrecruiters-probe(500)	2026-09-18	region:us; HQ London UK (public, Wise plc); large Austin TX office; also resolves on greenhouse(17)
Melio	?	Fintech and Payments	NY	mid	greenhouse	https://boards.greenhouse.io/melio	unchecked	fintech-search;greenhouse-probe(26)	2026-09-18	region:us; B2B payments/AP
BillCom	Bill.com Holdings, Inc.	Fintech and Payments	CA	large	greenhouse	https://boards.greenhouse.io/billcom	unchecked	fintech-search;greenhouse-probe(47)	2026-09-18	region:us; B2B payments/AP automation
Ripple	Ripple Labs Inc.	Fintech and Payments	CA	mid	greenhouse	https://boards.greenhouse.io/ripple	unchecked	fintech-search;greenhouse-probe(635)	2026-09-18	region:us; crypto/payments infra
Coinbase	Coinbase, Inc.	Fintech and Payments	CA	large	greenhouse	https://boards.greenhouse.io/coinbase	unchecked	fintech-search;greenhouse-probe(1302)	2026-09-18	region:us; crypto exchange
Circle	Circle Internet Financial, LLC	Fintech and Payments	NY	mid	ashby	https://jobs.ashbyhq.com/circle	unchecked	fintech-search;ashby-probe(9)	2026-09-18	region:us; stablecoin/crypto infra
Gemini	Gemini Trust Company, LLC	Fintech and Payments	NY	mid	greenhouse	https://boards.greenhouse.io/gemini	unchecked	fintech-search;greenhouse-probe(74)	2026-09-18	region:us; crypto exchange
Robinhood	Robinhood Markets, Inc.	Fintech and Payments	CA	large	greenhouse	https://boards.greenhouse.io/robinhood	unchecked	fintech-search;greenhouse-probe(310)	2026-09-18	region:us; retail trading/investing
SoFi	Social Finance, Inc.	Fintech and Payments	CA	large	greenhouse	https://boards.greenhouse.io/sofi	unchecked	fintech-search;greenhouse-probe(741)	2026-09-18	region:us; consumer fintech/lending
Upstart	Upstart Network, Inc.	Fintech and Payments	CA	mid	greenhouse	https://boards.greenhouse.io/upstart	unchecked	fintech-search;greenhouse-probe(89)	2026-09-18	region:us; AI lending
Current	?	Fintech and Payments	NY	startup	greenhouse	https://boards.greenhouse.io/current	unchecked	fintech-search;greenhouse-probe(21)	2026-09-18	region:us; consumer neobank
Alloy	?	Fintech and Payments	NY	mid	greenhouse	https://boards.greenhouse.io/alloy	unchecked	fintech-search;greenhouse-probe(26)	2026-09-18	region:us; identity/fraud infra for fintechs; also resolves lever(10)
Unit	?	Fintech and Payments	NY	startup	ashby	https://jobs.ashbyhq.com/unit	unchecked	fintech-search;ashby-probe(3)	2026-09-18	region:us; banking-as-a-service, low posting count but board proven live
Column	Column N.A.	Fintech and Payments	CA	startup	ashby	https://jobs.ashbyhq.com/column	unchecked	fintech-search;ashby-probe(18)	2026-09-18	region:us; nationally chartered bank/banking infra
ModernTreasury	?	Fintech and Payments	CA	startup	ashby	https://jobs.ashbyhq.com/moderntreasury	unchecked	fintech-search;ashby-probe(9)	2026-09-18	region:us; payment operations infra
Highnote	?	Fintech and Payments	CA	startup	greenhouse	https://boards.greenhouse.io/highnote	unchecked	fintech-search;greenhouse-probe(5)	2026-09-18	region:us; card issuing platform, low posting count but board proven live
Lithic	?	Fintech and Payments	CA	startup	greenhouse	https://boards.greenhouse.io/lithic	unchecked	fintech-search;greenhouse-probe(12)	2026-09-18	region:us; card issuing platform
Persona	?	Fintech and Payments	CA	mid	ashby	https://jobs.ashbyhq.com/persona	unchecked	fintech-search;ashby-probe(18)	2026-09-18	region:us; identity verification infra
Sardine	?	Fintech and Payments	CA	startup	ashby	https://jobs.ashbyhq.com/sardine	unchecked	fintech-search;ashby-probe(40)	2026-09-18	region:us; fraud/risk infra for fintechs
Socure	Socure, Inc.	Fintech and Payments	NY	mid	ashby	https://jobs.ashbyhq.com/socure	unchecked	fintech-search;ashby-probe(83)	2026-09-18	region:us; identity verification; also resolves smartrecruiters(5)
StockX	StockX LLC	Consumer Internet, Marketplaces and D2C	MI	mid	greenhouse	https://boards.greenhouse.io/stockx	unchecked	consumer-search;greenhouse-probe(72)	2026-09-18	region:us; sneaker/streetwear resale marketplace
Poshmark	Poshmark, Inc.	Consumer Internet, Marketplaces and D2C	CA	mid	ashby	https://jobs.ashbyhq.com/poshmark	unchecked	consumer-search;ashby-probe(34)	2026-09-18	region:us; social commerce/resale marketplace
Instacart	Maplebear Inc. (dba Instacart)	Consumer Internet, Marketplaces and D2C	CA	mid	greenhouse	https://boards.greenhouse.io/instacart	unchecked	consumer-search;greenhouse-probe(432)	2026-09-18	region:us; grocery delivery marketplace
Gopuff	GoBrands, Inc. (dba Gopuff)	Consumer Internet, Marketplaces and D2C	PA	mid	lever	https://jobs.lever.co/gopuff	unchecked	consumer-search;lever-probe(287)	2026-09-18	region:us; instant delivery
TaskRabbit	TaskRabbit Inc.	Consumer Internet, Marketplaces and D2C	CA	startup	greenhouse	https://boards.greenhouse.io/taskrabbit	unchecked	consumer-search;greenhouse-probe(16)	2026-09-18	region:us; services marketplace (IKEA-owned)
Rover	A Place for Rover, Inc.	Consumer Internet, Marketplaces and D2C	WA	mid	lever	https://jobs.lever.co/rover	unchecked	consumer-search;lever-probe(32)	2026-09-18	region:us; pet-sitting marketplace
Nextdoor	Nextdoor, Inc.	Consumer Internet, Marketplaces and D2C	CA	mid	greenhouse	https://boards.greenhouse.io/nextdoor	unchecked	consumer-search;greenhouse-probe(21)	2026-09-18	region:us; neighborhood social network
Ro	Roman Health Ventures Inc. (dba Ro)	Consumer Internet, Marketplaces and D2C	NY	mid	lever	https://jobs.lever.co/ro	unchecked	consumer-search;lever-probe(53)	2026-09-18	region:us; D2C digital health/telehealth
Zola	?	Consumer Internet, Marketplaces and D2C	NY	startup	greenhouse	https://boards.greenhouse.io/zola	unchecked	consumer-search;greenhouse-probe(10)	2026-09-18	region:us; wedding registry/marketplace
ThriveMarket	Thrive Market, Inc.	Consumer Internet, Marketplaces and D2C	CA	mid	greenhouse	https://boards.greenhouse.io/thrivemarket	unchecked	consumer-search;greenhouse-probe(18)	2026-09-18	region:us; D2C healthy-grocery membership/e-commerce
Glossier	Glossier, Inc.	Consumer Internet, Marketplaces and D2C	NY	startup	greenhouse	https://boards.greenhouse.io/glossier	unchecked	consumer-search;greenhouse-probe(28)	2026-09-18	region:us; D2C beauty brand
Bombas	?	Consumer Internet, Marketplaces and D2C	NY	startup	greenhouse	https://boards.greenhouse.io/bombas	unchecked	consumer-search;greenhouse-probe(12)	2026-09-18	region:us; D2C apparel brand
SeatGeek	SeatGeek, Inc.	Consumer Internet, Marketplaces and D2C	NY	mid	greenhouse	https://boards.greenhouse.io/seatgeek	unchecked	consumer-search;greenhouse-probe(32)	2026-09-18	region:us; ticketing marketplace
Cameo	?	Consumer Internet, Marketplaces and D2C	IL	startup	greenhouse	https://boards.greenhouse.io/cameo	unchecked	consumer-search;greenhouse-probe(1)	2026-09-18	region:us; personalized video marketplace, low posting count but board proven live
Razorpay	Razorpay Software Private Limited	Fintech and Payments	Karnataka	large	greenhouse	https://boards.greenhouse.io/razorpaysoftwareprivatelimited	n/a	india-fintech-search;greenhouse-probe(48)	2026-09-18	region:india; Bengaluru HQ; payments/banking infra; Chief of Staff / Head of Growth target
Cred	Dreamplug Technologies Private Limited	Fintech and Payments	Karnataka	mid	lever	https://jobs.lever.co/cred	n/a	india-fintech-search;lever-probe(11)	2026-09-18	region:india; Bengaluru HQ; consumer fintech/rewards
Groww	Billionbrains Garage Ventures Private Limited	Fintech and Payments	Karnataka	mid	greenhouse	https://boards.greenhouse.io/groww	n/a	india-fintech-search;greenhouse-probe(16)	2026-09-18	region:india; Bengaluru HQ; investing/broking platform
Slice	Garagepreneurs Internet Private Limited	Fintech and Payments	Karnataka	mid	greenhouse	https://boards.greenhouse.io/slice	n/a	india-fintech-search;greenhouse-probe(27)	2026-09-18	region:india; Bengaluru HQ; consumer credit/payments
FiMoney	epiFi Technologies Private Limited	Fintech and Payments	Karnataka	mid	lever	https://jobs.lever.co/fi	n/a	india-fintech-search;lever-probe(16)	2026-09-18	region:india; Bengaluru HQ; consumer neobank
Navi	Navi Technologies Limited	Fintech and Payments	Karnataka	mid	ashby	https://jobs.ashbyhq.com/navi	n/a	india-fintech-search;ashby-probe(9)	2026-09-18	region:india; Bengaluru HQ; lending/insurance/mutual funds
Zeta	?	Fintech and Payments	Karnataka	mid	lever	https://jobs.lever.co/zeta	n/a	india-fintech-search;lever-probe(21)	2026-09-18	region:india; Bengaluru HQ; banking tech/card issuing
Meesho	Fashnear Technologies Private Limited	Consumer Internet, Marketplaces and D2C	Karnataka	large	lever	https://jobs.lever.co/meesho	n/a	india-consumer-search;lever-probe(48)	2026-09-18	region:india; Bengaluru HQ; social commerce marketplace
