company	legal_name	title	url	jd_path	track	visa_verdict	tier	comp_anchor
Instacart	Maplebear Inc. (dba Instacart)	Senior Product Manager, Ads Quality	https://instacart.careers/job/?gh_jid=8077510	jds/instacart-senior-product-manager-ads-quality-us.md	us	BUILD	TIER-1	cached: CA/NY/CT/NJ $221,000-$233,000; WA $212,000-$223,500; other listed states $203,000-$214,000; all other US states $184,000-$194,000
Instacart	Maplebear Inc. (dba Instacart)	Senior Product Manager, Advertiser Experience	https://instacart.careers/job/?gh_jid=8120471	jds/instacart-senior-product-manager-advertiser-experience-ca.md	us	BUILD	TIER-1	cached: CA/NY/CT/NJ $221,000-$233,000; WA $212,000-$223,500; other listed states $203,000-$214,000; all other US states $184,000-$194,000
Instacart	Maplebear Inc. (dba Instacart)	Senior Product Manager, Advertiser Experience	https://instacart.careers/job/?gh_jid=8120469	jds/instacart-senior-product-manager-advertiser-experience-us.md	us	BUILD	TIER-1	cached: CA/NY/CT/NJ $221,000-$233,000; WA $212,000-$223,500; other listed states $203,000-$214,000; all other US states $184,000-$194,000
Instacart	Maplebear Inc. (dba Instacart)	Senior Product Manager, Catalog	https://instacart.careers/job/?gh_jid=8143270	jds/instacart-senior-product-manager-catalog-us.md	us	BUILD	TIER-1	cached: CA/NY/CT/NJ $221,000-$233,000; WA $212,000-$223,500; other listed states $203,000-$214,000; all other US states $184,000-$194,000
Instacart	Maplebear Inc. (dba Instacart)	Senior Product Manager, Catalog	https://instacart.careers/job/?gh_jid=8143272	jds/instacart-senior-product-manager-catalog-ca.md	us	BUILD	TIER-1	cached: CA/NY/CT/NJ $221,000-$233,000; WA $212,000-$223,500; other listed states $203,000-$214,000; all other US states $184,000-$194,000
ThriveMarket	Thrive Market, Inc.	Senior Growth Marketing Manager, Search, Shopping & GEO	https://thrivemarketjobs.com/job_posting.html?id=4369950009&gh_jid=4369950009	jds/thrivemarket-senior-growth-marketing-manager-search-shopping-geo.md	us	BUILD	TIER-1	Competitive salary (DOE) + equity, JD-stated - no numeric band given
Ro	Roman Health Ventures Inc. (dba Ro)	Packaging Program Manager	https://jobs.lever.co/ro/1f481677-dda0-43b5-9245-a513ab90cfeb	jds/ro-packaging-program-manager.md	us	BUILD	TIER-1	not stated in JD
Navan	Navan, Inc.	Product Marketing Manager	https://navan.com/careers/openings?gh_jid=8054360	jds/navan-product-marketing-manager.md	us	BUILD	TIER-1	JD-stated $108,000-$240,000 USD
Navan	Navan, Inc.	Senior Product Manager, ERP	https://navan.com/careers/openings?gh_jid=8170883	jds/navan-senior-product-manager-erp.md	us	BUILD	TIER-1	JD-stated $114,750-$255,000 USD
Navan	Navan, Inc.	Sr. Marketing Analytics Manager	https://navan.com/careers/openings?gh_jid=8030479	jds/navan-sr-marketing-analytics-manager.md	us	BUILD	TIER-1	JD-stated $105,450-$234,400 USD
Intercom	Salesforce, Inc. (JD identifies the hiring entity as "Fin, now part of Salesforce")	Senior Forward Deployed Product Manager	https://job-boards.greenhouse.io/intercom/jobs/7111007	jds/intercom-senior-forward-deployed-product-manager.md	us	BUILD	TIER-1	median salary $178,100 (FY2025, sponsored positions, cached)
appxConnect		Founder's Office	https://www.linkedin.com/posts/shilpatiwary_hiring-hyderabadjobs-startupjobs-activity-7497933523220267008-OddT?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	jds/appxconnect-founders-office.md	india	NOT-NEEDED	N/A
MoveInSync		Founder's Office — Platform Builder	https://www.linkedin.com/posts/shobhitgupta123_were-hiring-platform-builders-at-moveinsync-activity-7497933659597905920-zCIP?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	jds/moveinsync-founders-office-platform-builder.md	india	NOT-NEEDED	N/A
Scrubsy	BoldChem Sciences Pvt. Ltd.	Founders Office – Operations	https://www.linkedin.com/jobs/view/4454193901/	jds/scrubsy-founders-office-operations.md	india	NOT-NEEDED	N/A
Sprout Social, Inc.	Sprout Social, Inc.	Product Marketing Strategist	https://www.linkedin.com/jobs/view/4460651627	jds/sprout-social-product-marketing-strategist.md	us	BUILD	TIER-1	JD-stated Current Hiring Range $94,400-$118,000/yr (Zone 1 NY/CA/WA $103,800-$155,800; Zone 2 other US $94,400-$141,600)
The Judge Group	The Judge Group, Inc.	Growth Marketing Manager	https://www.linkedin.com/jobs/view/4471153413	jds/judge-group-growth-marketing-manager.md	us	BUILD (downgrade)	TIER-3	JD-stated $70.00/hr-$90.00/hr (contract position)
Recor Medical	ReCor Medical, Inc.	Marketing Manager, Downstream Marketing	https://www.linkedin.com/jobs/view/4384512850	jds/recor-medical-marketing-manager-downstream-marketing.md	us	BUILD	TIER-1	JD-stated $166,000-$188,000 (annual base salary)
Whatnot	Whatnot, Inc.	Category Marketing Manager, GTM	https://www.linkedin.com/jobs/view/4453021986	jds/whatnot-category-marketing-manager-gtm.md	us	BUILD	TIER-1	JD-stated $126,000-$165,000/yr (base pay)
Hover	Hover, Inc.	Content Marketing Manager	https://www.linkedin.com/jobs/view/4460657321	jds/hover-content-marketing-manager.md	us	BUILD	TIER-1	JD-stated $132,000-$163,000 annually (US base)
Casechek	CaseChek, Inc.	Product Marketing Manager	https://www.linkedin.com/jobs/view/4470977384	jds/casechek-product-marketing-manager.md	us	BUILD (downgrade)	TIER-3	JD-stated $120,000-$150,000
Learneo	Learneo, Inc.	Senior Associate, Strategy & Market Intelligence	https://www.linkedin.com/jobs/view/4471143473	jds/learneo-senior-associate-strategy-market-intelligence.md	us	BUILD	TIER-1	JD-stated by location band: CA/NY $151,000-$256,000; MA/WA $151,000-$232,000; MN/NJ $151,000-$205,000; CO/IL $133,000-$205,000; VT $133,000-$179,000
Sardine	SardineAI Corp	Revenue Operations Manager	https://jobs.ashbyhq.com/sardine/b6ca1fd5-a374-4c99-a6fd-a0c4d0859a61	jds/sardine-revenue-operations-manager.md	us	BUILD	TIER-1	JD comp not stated ("Generous compensation in cash and equity")
Workato	Workato, Inc.	Partner Marketing Manager	https://www.workato.com/careers?gh_jid=8645758002#open-roles	jds/workato-partner-marketing-manager.md	us	BUILD	TIER-1	median $125,000 (all sponsored titles, all years, cached); not stated in this JD
Workato	Workato, Inc.	Senior ABM & Demand Generation Manager	https://www.workato.com/careers?gh_jid=8790899002#open-roles	jds/workato-senior-abm-demand-generation-manager.md	us	BUILD	TIER-1	median $125,000 (all sponsored titles, all years, cached); not stated in this JD
Workato	Workato, Inc.	Staff Product Manager (Build Experience - Agentic)	https://www.workato.com/careers?gh_jid=8326092002#open-roles	jds/workato-staff-product-manager-build-experience-agentic.md	us	BUILD	TIER-1	median $125,000 (all sponsored titles, all years, cached); not stated in this JD
Workato	Workato, Inc.	Staff Product Manager (Evals)	https://www.workato.com/careers?gh_jid=8392595002#open-roles	jds/workato-staff-product-manager-evals.md	us	BUILD	TIER-1	median $125,000 (all sponsored titles, all years, cached); not stated in this JD
Outreach	Outreach Corporation	Senior Global Partner Marketing Manager	https://jobs.lever.co/outreach/7f694c94-ed50-4b62-a07d-6239721126c1	jds/outreach-senior-global-partner-marketing-manager.md	us	BUILD	TIER-1	JD-stated $110,000-$135,000 USD per year
Outreach	Outreach Corporation	Senior Performance Marketing Manager	https://jobs.lever.co/outreach/7b5bb182-25d0-45ec-912e-5a46892dbeb4	jds/outreach-senior-performance-marketing-manager.md	us	BUILD	TIER-1	JD-stated $110,000-$140,000 USD/year
Perplexity	Perplexity AI, Inc.	Product Marketing Manager, Partnerships	https://jobs.ashbyhq.com/perplexity/d5bc2302-202f-4596-9c4d-8720d1e79064	jds/perplexity-product-marketing-manager-partnerships.md	us	BUILD	TIER-1	not stated in JD; median $187,533 (FY2025, sponsored positions, cached aggregate)
Perplexity	Perplexity AI, Inc.	Associate Product Marketing Manager	https://jobs.ashbyhq.com/perplexity/08f1a218-bdff-4cdd-aefe-0d55529b1ece	jds/perplexity-associate-product-marketing-manager.md	us	BUILD	TIER-1	not stated in JD; median $187,533 (FY2025, sponsored positions, cached aggregate)
Perplexity	Perplexity AI, Inc.	Demand Generation Lead	https://jobs.ashbyhq.com/perplexity/2be717cb-ad3e-4052-a464-79b107a70406	jds/perplexity-demand-generation-lead.md	us	BUILD	TIER-1	not stated in JD; median $187,533 (FY2025, sponsored positions, cached aggregate)
Perplexity	Perplexity AI, Inc.	Field Marketing Manager	https://jobs.ashbyhq.com/perplexity/d7e05546-4d42-4f1a-8ccd-c95d2519f5f6	jds/perplexity-field-marketing-manager.md	us	BUILD	TIER-1	not stated in JD; median $187,533 (FY2025, sponsored positions, cached aggregate)
Perplexity	Perplexity AI, Inc.	Product Manager (Builder)	https://jobs.ashbyhq.com/perplexity/f25e190e-0508-4707-b575-fcaed358dc13	jds/perplexity-product-manager-builder.md	us	BUILD	TIER-1	not stated in JD; median $187,533 (FY2025, sponsored positions, cached aggregate)
Perplexity	Perplexity AI, Inc.	GTM Strategy & Operations Lead	https://jobs.ashbyhq.com/perplexity/b75db90b-ca13-4a2f-aac4-c7764b631540	jds/perplexity-gtm-strategy-operations-lead.md	us	BUILD	TIER-1	not stated in JD; median $187,533 (FY2025, sponsored positions, cached aggregate)
Perplexity	Perplexity AI, Inc.	Revenue Operations Analyst	https://jobs.ashbyhq.com/perplexity/03f8f956-1cb3-4945-81d1-73b7ff048d4e	jds/perplexity-revenue-operations-analyst.md	us	BUILD	TIER-1	not stated in JD; median $187,533 (FY2025, sponsored positions, cached aggregate)
Perplexity	Perplexity AI, Inc.	Product Manager, Mobile Apps	https://jobs.ashbyhq.com/perplexity/3c9c051f-e6ca-4a70-9abf-1f640e154ee1	jds/perplexity-product-manager-mobile-apps.md	us	BUILD	TIER-1	not stated in JD; median $187,533 (FY2025, sponsored positions, cached aggregate)
