company	legal_name	title	url	jd_path	track	score	band	visa_verdict	comp_estimate	comp_source	portfolio_url	tracker_row
Darwinbox	Darwinbox	Chief of Staff	https://www.linkedin.com/jobs/view/4459686299/	jds/darwinbox-chief-of-staff.md	india	4.1	full_pack	NOT-NEEDED	Rs 45-70L+ est. (Darwinbox Director avg Rs 68.5L company-wide; general CoS aggregates); no JD figure	WebSearch (Glassdoor + aggregates)	https://adhithyabhaskar.vercel.app/ref/darwinbox	205
Brex	Brex, Inc.	Senior Growth Marketing Manager, Paid Social	https://www.brex.com/careers/8782292002?gh_jid=8782292002	jds/brex-senior-growth-marketing-manager-paid-social.md	us	4.1	full_pack	SPONSOR	$131,080-$163,850 -- JD stated	JD (stated range)	https://adhi-growth-ai.vercel.app/ref/brex	177
Airwallex	Airwallex US, LLC	Product Marketing Manager, Spend	https://jobs.ashbyhq.com/airwallex/d48dec2b-e5ba-444d-8790-aa77c23b2aea	jds/airwallex-product-marketing-manager-spend.md	us	4.1	full_pack	SPONSOR	$150,000-$180,000 -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/airwallex	176
Affirm	Affirm, Inc.	Revenue Operations Lead (San Jose, CA)	https://www.linkedin.com/jobs/view/4459435975	jds/affirm-revenue-operations-lead-san-jose.md	us	4.1	full_pack	SPONSOR	$130,000-$180,000 -- JD stated	JD (stated range)	https://adhithyabhaskar.vercel.app/ref/affirm	128
Affirm	Affirm, Inc.	Revenue Operations Lead (San Francisco, CA)	https://www.linkedin.com/jobs/view/4459434906	jds/affirm-revenue-operations-lead-sf.md	us	4.1	full_pack	SPONSOR	$130,000-$180,000 -- JD stated	JD (stated range)	https://adhithyabhaskar.vercel.app/ref/affirm	127
Paraform	Paraform Inc	Product Marketing Lead	https://www.linkedin.com/jobs/view/4470496550	jds/paraform-product-marketing-lead.md	us	4.1	full_pack	TIER-1	not stated in JD; median $160,000, Strategic Projects Lead $160,000-$185,000	task-brief-anchor	https://adhi-product-ai.vercel.app/ref/paraform	
Affirm	Affirm, Inc.	Revenue Operations Analyst II	https://job-boards.greenhouse.io/affirm/jobs/7871460003	jds/affirm-revenue-operations-analyst-ii.md	us	4.1	full_pack	SPONSOR	$100,000-$150,000 (CA/WA/NY/NJ/CT); $88,000-$138,000 (other US)	JD stated	https://adhithyabhaskar.vercel.app/ref/affirm	
SoFi	Social Finance, Inc. (dba SoFi)	Pricing Analyst, Lending	https://sofi.com/careers/job/7820964003?gh_jid=7820964003	jds/sofi-pricing-analyst-lending.md	us	4.0	no_deck	SPONSOR/BUILD	$73,600-$138,000 base, plus bonus+equity	JD	https://adhi-pricing-ai.vercel.app/ref/sofi	203
Plaid	Plaid Inc.	Product Marketing Manager - Payments	https://jobs.ashbyhq.com/plaid/2482391e-a6c0-433f-9f6d-5221ee296d22	jds/plaid-product-marketing-manager-payments.md	us	4.0	no_deck	SPONSOR	$160.8K-$200.4K + equity -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/plaid	145
Decagon	Decagon AI, Inc.	Revenue Operations Associate	https://www.linkedin.com/jobs/view/4450772527	jds/decagon-revenue-operations-associate.md	us	4.0	no_deck	SPONSOR	median $240,000 (visa-cache; high for Associate level, treat with caution)	data/visa-cache.tsv	https://adhithyabhaskar.vercel.app/ref/decagon	129
Cursor	Anysphere, Inc.	Deal Desk Analyst - Americas	https://jobs.ashbyhq.com/cursor/4a1f9223-627b-4582-a038-0d7005d7a31d	jds/anysphere-cursor-deal-desk-analyst-americas.md	us	4.0	no_deck	SPONSOR	not stated -- JD	JD	https://adhi-pricing-ai.vercel.app/ref/cursor	144
Airwallex	Airwallex US, LLC	Manager, Performance Marketing, Brandformance	https://jobs.ashbyhq.com/airwallex/1a424b60-e6c0-4b21-8a42-4b0da4589b5a	jds/airwallex-manager-performance-marketing-brandformance.md	us	4.0	no_deck	SPONSOR	$110,000-$170,000 -- JD stated	JD (stated range)	https://adhi-growth-ai.vercel.app/ref/airwallex	178
Writer	Writer, Inc. (entity match not confirmed)	Senior paid marketing manager	https://jobs.ashbyhq.com/writer/44a78f04-6415-4a5c-949d-e29bfbd271d5	jds/writer-senior-paid-marketing-manager.md	us	3.9	no_deck	BUILD (downgrade)	$157,100-$198,700 -- JD stated	JD (stated range)	https://adhi-growth-ai.vercel.app/ref/writer	179
ScaleAI	Scale AI, Inc.	Product Marketing Lead, Enterprise	https://job-boards.greenhouse.io/scaleai/jobs/4722998005	jds/scaleai-product-marketing-lead-enterprise.md	us	3.9	no_deck	SPONSOR	$182,000-$228,000 -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/scale-ai	161
Revolut	Revolut	Product Strategy Managers - CEO Office	https://www.linkedin.com/posts/drup-kubadia_were-hiring-for-product-strategy-managers-activity-7497876224178876416-lMz5	jds/revolut-product-strategy-managers-ceo-office.md	india	3.9	no_deck	NOT-NEEDED	Rs 62-70L (Levels.fyi PM India median); role-specific CTC not stated	WebSearch (Levels.fyi/Glassdoor aggregates)	https://adhithyabhaskar.vercel.app/ref/revolut	180
Monolithic Power Systems, Inc.	Monolithic Power Systems, Inc.	Product Marketing Manager (Power Modules)	https://www.linkedin.com/jobs/view/4450799653	jds/monolithic-power-systems-product-marketing-manager-power-modules.md	us	3.9	no_deck	SPONSOR	$120,000-$200,000 (CA) -- JD stated	JD (stated range)	https://adhi-product.vercel.app/ref/monolithic-power-systems	122
Deputy	Deputy US Inc.	Senior Regional Marketing Manager	https://jobs.lever.co/deputy/4a991c14-b1bf-4aed-9458-fae2df1c4af0	jds/deputy-senior-regional-marketing-manager.md	us	3.9	no_deck	NO-SPONSOR-NON-EVERIFY (unverified)	$117,600-$143,100	JD stated	https://adhi-growth-ai.vercel.app/ref/deputy	257
Airwallex	Airwallex US, LLC	Manager, Growth Strategy & Operations (Experiments/Campaigns)	https://jobs.ashbyhq.com/airwallex/9e31a887-9ba6-4a56-b083-adcd8b8e2cee	jds/airwallex-manager-growth-strategy-and-operations-experiments-campaigns.md	us	3.9	no_deck	SPONSOR/BUILD	avg $212,625 across 51 filings (cached)	visa-cache	https://adhi-growth-ai.vercel.app/ref/airwallex	246
Freshworks	Freshworks Inc.	Product Marketing Manager, Freshservice Platform	https://www.linkedin.com/jobs/view/4466302657	jds/freshworks-product-marketing-manager-freshservice-platform.md	us	3.9	no_deck	TIER-1	$160,000-$200,000/yr base	JD	https://adhi-product-ai.vercel.app/ref/freshworks	
Fivetran	Fivetran Inc.	Senior Technical Product Marketing Manager	https://www.fivetran.com/careers/job?gh_jid=8002744003	jds/fivetran-senior-technical-product-marketing-manager.md	us	3.9	no_deck	TIER-1	$178,069-$222,586 (Oakland)	JD	https://adhi-product-ai.vercel.app/ref/fivetran	
Scale AI	Scale AI, Inc.	AI Product Manager (Coding/Multimodal)	https://job-boards.greenhouse.io/scaleai/jobs/4609736005	jds/scaleai-ai-product-manager-coding-multimodal.md	us	3.8	no_deck	SPONSOR	$171,200-$214,000 -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/scale-ai	157
Flam	Flam (Flamboyant Technology Pvt Ltd)	Founder's Office Generalist (US Shift)	https://www.linkedin.com/jobs/view/4458899403/	jds/flam-founder-s-office-generalist.md	india	3.8	no_deck	NOT-NEEDED	unknown (general company data tech-role-skewed, generalist-role figure not found)	WebSearch (Glassdoor Flam aggregate)	https://adhi-growth-ai.vercel.app/ref/flam	264
MRI Software	MRI Software LLC	Product Marketing Manager	https://www.linkedin.com/jobs/view/4440832047	jds/mri-software-product-marketing-manager.md	us	3.8	no_deck	TIER-1	unknown (JD states none; SWE $138,590 anchor not representative of PMM comp)	task-brief-anchor	https://adhi-product.vercel.app/ref/mri-software	
Affirm	Affirm, Inc.	Senior Product Manager, 1: Many Merchant Growth	https://job-boards.greenhouse.io/affirm/jobs/7818068003	jds/affirm-senior-product-manager-1-many-merchant-growth.md	us	3.8	no_deck	SPONSOR	$195,000-$255,000 (CA/WA/NY/NJ/CT); $173,000-$233,000 (other US)	JD stated	https://adhi-product-ai.vercel.app/ref/affirm	
Zuora	Zuora, Inc.	Sr. Analyst, Revenue Operations and Analytics	https://boards.greenhouse.io/zuora/jobs/8137987?gh_jid=8137987	jds/zuora-sr-analyst-revenue-operations-and-analytics.md	us	3.7	no_deck	SPONSOR/BUILD	$99,500-$132,000	JD stated	https://adhithyabhaskar.vercel.app/ref/zuora	247
Windfall	Windfall Data, Inc.	Product Marketing Manager	https://jobs.lever.co/windfalldata/d64fdf52-6821-4dd1-b3dd-745ffd018eed	jds/windfall-product-marketing-manager.md	us	3.7	no_deck	BUILD	unknown (thin H-1B filing history: 5 LCAs FY22-24, TIER-1 but small volume)	data/visa-cache.tsv	https://adhi-product-ai.vercel.app/ref/windfall	099
MIRAGGIO	MIRAGGIO (brand; legal entity not confirmed)	Head of Growth (D2C Lead)	https://www.instahyre.com/job-399959-head-of-growth-d2c-lead-at-miraggio-gurgaon/	jds/miraggio-head-of-growth-d2c-lead.md	india	3.7	no_deck	NOT-NEEDED	unknown (no public CTC data found for this specific req; small-mid D2C brand, no company-specific salary data surfaced)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhi-growth.vercel.app/ref/miraggio	098
Druva	Druva, Inc.	Deal Desk Analyst	https://www.druva.com/why-druva/explore/careers/jobs/8742718002/?gh_jid=8742718002	jds/druva-deal-desk-analyst.md	us	3.7	no_deck	SPONSOR/BUILD	$112,000-$157,333	JD stated	https://adhi-pricing-ai.vercel.app/ref/druva	243
Column	Column, Inc.	Product Manager, Platform Tools	https://www.linkedin.com/jobs/view/4424259448	jds/column-product-manager-platform-tools.md	us	3.7	no_deck	BUILD (downgrade)	$140,000-$220,000 + equity -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/column	138
Avathon	Avathon, Inc. (f/k/a SparkCognition, Inc.)	Product Manager, Energy and Critical Resources	https://www.linkedin.com/jobs/view/4470200429	jds/avathon-product-manager-energy-and-critical-resources.md	us	3.7	no_deck	SPONSOR	$150,000-$190,000 CA base	JD stated	https://adhi-product-ai.vercel.app/ref/avathon	255
Apollo.io	Zenleads, Inc. (dba Apollo.io)	Senior Product Manager, Expansion	https://job-boards.greenhouse.io/apolloio/jobs/6140340004	jds/apollo-io-senior-product-manager-expansion.md	us	3.7	no_deck	SPONSOR/BUILD	Tier1 $161,900-$202,400	JD stated	https://adhi-product-ai.vercel.app/ref/apollo-io	251
Amazon Web Services (AWS)	Amazon Web Services, Inc.	Product Marketing Manager- Technical, Amazon WorkSpaces	https://www.linkedin.com/jobs/view/4461238754	jds/aws-product-marketing-manager-technical-workspaces.md	us	3.7	no_deck	TIER-1	SF/Santa Clara $130,500-$176,000; Boston/Seattle $118,600-$160,000	JD	https://adhi-product-ai.vercel.app/ref/aws	
Voice Arena	Voice Arena (brand; legal entity not confirmed)	Head of Growth	https://www.jobleads.com/in/job/head-of-growth--gurugram-district--e3919922bc537869ae0a31231bf0f6269	jds/voice-arena-head-of-growth.md	india	3.6	no_deck	NOT-NEEDED	unknown (no public CTC data found)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhi-growth-ai.vercel.app/ref/voice-arena	101
Veeva Systems	Veeva Systems Inc.	Product Marketing Manager / Senior Manager	https://jobs.lever.co/veeva/21abdfb7-f1e1-44cd-b63f-ae47b3f47617	jds/veeva-systems-product-marketing-manager-senior-manager.md	us	3.6	no_deck	BUILD	unknown (TIER-1, 104 LCAs FY2025, strong current-year sponsor)	data/visa-cache.tsv	https://adhi-product.vercel.app/ref/veeva-systems	102
TogetherAI	Together Computer, Inc. (dba Together AI)	Associate, Infrastructure Strategy & Operations	https://job-boards.greenhouse.io/togetherai/jobs/5152193007	jds/togetherai-associate-infrastructure-strategy-and-operations.md	us	3.6	no_deck	SPONSOR/BUILD	avg wage $213,545 (cached LCA)	visa-cache	https://adhithyabhaskar.vercel.app/ref/togetherai	244
Snapmint	Snapmint Financial Services Pvt Ltd	Strategy & Business Operations	https://in.linkedin.com/jobs/view/strategy-business-operations-at-snapmint-4461208227	jds/snapmint-strategy-and-business-operations.md	india	3.6	no_deck	NOT-NEEDED	unknown (elite MBA+consulting bar likely commands premium above general company average)	WebSearch (Glassdoor/6figr Snapmint aggregate)	https://adhithyabhaskar.vercel.app/ref/snapmint	263
Snap Inc.	Snap Inc.	Product Manager, Business Experience	https://www.linkedin.com/jobs/view/4450785897	jds/snap-inc-product-manager-business-experience.md	us	3.6	no_deck	SPONSOR/BUILD	$173,000-$259,000 (Zone A: CA/WA/NYC), plus RSUs	JD	https://adhi-product-ai.vercel.app/ref/snap	201
Qure.ai	Qure.ai	CEO's Office (hiring post, not formal JD)	https://www.linkedin.com/posts/pwarier_im-looking-for-12-people-to-join-me-in-activity-7499064896995790848-h1Aq?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	jds/qure-ai-ceos-office.md	india	3.6	no_deck	NOT-NEEDED	unknown (no company-specific CTC data; Qure.ai co. range Rs 3-45 LPA, avg ~26 LPA; India CoS market avg ~23 LPA / 90th pct ~65.8L)	WebSearch (Glassdoor/6figr/AmbitionBox aggregates)	https://adhithyabhaskar.vercel.app/ref/qure-ai	120
Nilah Advisors	Nilah Advisors (brand; legal entity not confirmed)	Chief of Staff	https://wellfound.com/jobs/3965748-chief-of-staff	jds/nilah-advisors-chief-of-staff.md	india	3.6	no_deck	NOT-NEEDED	unknown (no public CTC data found; early-stage AI startup)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhithyabhaskar.vercel.app/ref/nilah-advisors	100
Lagrange Point International	Client unnamed (PE-backed healthcare platform) via Lagrange Point International	Chief of Staff	https://www.linkedin.com/jobs/view/4458392440/	jds/lagrange-point-international-chief-of-staff.md	india	3.6	no_deck	NOT-NEEDED	Rs 45-65L fixed est. (comparable Series B+ CoS roles); no JD figure	WebSearch (comparable-role aggregates)	https://adhithyabhaskar.vercel.app/ref/lagrange-point-international	204
Baseten	Baseten Labs, Inc.	Product Marketing Manager, Training	https://jobs.ashbyhq.com/baseten/36a76195-a9fc-4b10-9963-532e8c168e6a	jds/baseten-product-marketing-manager-training.md	us	3.6	no_deck	SPONSOR	$170,000-$220,000 -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/baseten	181
Artisan Partners	Artisan Partners Limited Partnership	Competitive Intelligence Associate	https://www.linkedin.com/jobs/view/4460212234	jds/artisan-partners-competitive-intelligence-associate.md	us	3.6	no_deck	SPONSOR	$100,000-$165,000	JD stated	https://adhithyabhaskar.vercel.app/ref/artisan-partners	256
Metaview	Metaview Technologies Inc	Product Marketing Manager	https://www.linkedin.com/jobs/view/4461719472	jds/metaview-product-marketing-manager.md	us	3.6	no_deck	TIER-1-thin-evidence	unquantified (high compensation, cash and equity)	JD	https://adhi-product-ai.vercel.app/ref/metaview	
Amazon Web Services (AWS)	Amazon Web Services, Inc.	Product Marketing Manager - Tech, AWS Observability	https://www.linkedin.com/jobs/view/4470482666	jds/aws-product-marketing-manager-tech-observability.md	us	3.6	no_deck	TIER-1	Santa Clara $130,500-$176,000; Boston/Arlington/Seattle $118,600-$160,000	JD	https://adhi-product-ai.vercel.app/ref/aws	
DaySmart	DaySmart Software LLC	Product Marketing Manager (Slick)	https://www.linkedin.com/jobs/view/4469011972	jds/daysmart-product-marketing-manager.md	us	3.6	no_deck	TIER-1-thin-evidence	$100,000-$110,000 base	JD	https://adhi-product.vercel.app/ref/daysmart	
Veeva Systems	Veeva Systems Inc.	Product Marketing Manager / Senior Manager - Commercial Content	https://jobs.lever.co/veeva/b3998e4c-e82b-4460-92ac-1425b5660051	jds/veeva-systems-product-marketing-manager-senior-manager-commercial-content.md	us	3.5	no_deck	BUILD	unknown (TIER-1, same employer verdict as row 102)	data/visa-cache.tsv	https://adhi-product.vercel.app/ref/veeva-systems	104
Hevo Data	Hevo Data Inc.	Strategy & Ops (Founder's Office)	https://jobs.lever.co/hevodata/8d0ee4a7-1ecb-4129-af6b-14abc69b84e5	jds/hevodata-strategy-and-ops-founder-s-office.md	india	3.5	no_deck	NOT-NEEDED	unknown (company salary span 9.25L-42L across roles, role-specific figure not found)	WebSearch (Glassdoor Hevo Data aggregate)	https://adhithyabhaskar.vercel.app/ref/hevo-data	262
Gushwork	Gushwork (brand; legal entity not confirmed)	Chief of Staff	https://in.linkedin.com/jobs/view/chief-of-staff-at-gushwork-4359202589	jds/gushwork-chief-of-staff.md	india	3.5	no_deck	NOT-NEEDED	unknown (no public CTC data found)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhithyabhaskar.vercel.app/ref/gushwork	103
Blacksmith Agency	Blacksmith Agency LLC	Growth Marketing Manager (Remote, Washington)	https://www.linkedin.com/jobs/view/4470470932	jds/blacksmith-agency-growth-marketing-manager.md	us	3.5	no_deck	TIER-2	not stated	JD	https://adhi-growth.vercel.app/ref/blacksmith-agency	
ZoomInfo	ZoomInfo Technologies LLC	Senior Product Manager	https://www.zoominfo.com/careers?gh_jid=8561603002	jds/zoominfo-senior-product-manager.md	us	3.4	no_deck	SPONSOR/BUILD	$126,000-$198,000	JD stated	https://adhi-product-ai.vercel.app/ref/zoominfo	249
Zip	ZipHQ, Inc.	Senior Product Manager, AP Automation	https://www.linkedin.com/jobs/view/4432175417	jds/zip-senior-product-manager-ap-automation.md	us	3.4	no_deck	SPONSOR	$205,000-$240,000 -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/zip	134
Workstream	Workstream Technologies, Inc.	Product Manager	https://job-boards.greenhouse.io/workstream/jobs/5992161004	jds/workstream-product-manager.md	us	3.4	no_deck	SPONSOR/BUILD	SF/Menlo Park $150,000-$170,000	JD stated	https://adhi-product-ai.vercel.app/ref/workstream	239
Twilio	Twilio Inc.	Product Manager, Journeys Coordination	https://boards.greenhouse.io/twilio/jobs/4934278	jds/twilio-product-manager-journeys-coordination.md	us	3.4	no_deck	BUILD	$155,600-$194,500 (SF Bay Area band, indexed)	JD (WebSearch-reconstructed, unverified)	https://adhi-product-ai.vercel.app/ref/twilio	187
Turo	Turo, Inc.	Lead Product Manager, Host Pricing	https://www.linkedin.com/jobs/view/4469500460	jds/turo-lead-product-manager-host-pricing.md	us	3.4	no_deck	SPONSOR	$174,000-$218,000 (SF) + equity -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/turo	126
Scopex	ScopeX	Head of Growth	https://wellfound.com/jobs/3620080-head-of-growth-marketing	jds/scopex-head-of-growth.md	india	3.4	no_deck	NOT-NEEDED	Rs 50L-70L + 0.1%-1.0% equity -- JD stated	JD (stated range)	https://adhi-growth-ai.vercel.app/ref/scopex	171
PGAGI	PGAGI (brand; legal entity not confirmed)	Founder's Office	https://cutshort.io/job/Founder-s-Office-Bengaluru-Bangalore-PGAGI-bmNwZm9y	jds/pgagi-founder-s-office.md	india	3.4	no_deck	NOT-NEEDED	unknown (no public CTC data found)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhithyabhaskar.vercel.app/ref/pgagi	107
Heavenly Secrets	Heavenly Secrets	Chief of Staff	https://www.linkedin.com/posts/riddhi-wadhia-00a950177_hiring-chiefofstaff-heavenlysecrets-share-7491754510600716289-FXbl/	jds/heavenly-secrets-chief-of-staff.md	india	3.4	no_deck	NOT-NEEDED	unknown (small company, no public CTC data found)	WebSearch (Glassdoor/6figr India CoS aggregates)	https://adhithyabhaskar.vercel.app/ref/heavenly-secrets	260
Cypherock Wallet	Cypherock Wallet (brand; legal entity not confirmed)	Founder's Office - Growth	https://wellfound.com/jobs/2053436-founder-s-office-growth	jds/cypherock-wallet-founder-s-office-growth.md	india	3.4	no_deck	NOT-NEEDED	unknown (no public CTC data found)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhi-growth-ai.vercel.app/ref/cypherock-wallet	108
Chtrbox	Chtrbox (brand; legal entity not confirmed)	Chief of Staff	https://www.iimjobs.com/j/chtrbox-chief-of-staff-1685051	jds/chtrbox-chief-of-staff.md	india	3.4	no_deck	NOT-NEEDED	unknown (no public CTC data found)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhithyabhaskar.vercel.app/ref/chtrbox	106
Airwallex	Airwallex US, LLC	Staff Product Manager, Corporate Site	https://jobs.ashbyhq.com/airwallex/3aeb4a81-9dcd-4e32-811c-97c2812241e6	jds/airwallex-staff-product-manager-corporate-site.md	us	3.4	no_deck	SPONSOR	$190,000-$270,000 -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/airwallex	182
Airwallex	Airwallex US, LLC	Growth Content Marketing Manager	https://jobs.ashbyhq.com/airwallex/9aa6190d-dd95-4983-8623-2a81be88b671	jds/airwallex-growth-content-marketing-manager.md	us	3.4	no_deck	SPONSOR	$110,000-$170,000 -- JD stated	JD (stated range)	https://adhi-growth-ai.vercel.app/ref/airwallex	183
AI Fund	AI Fund LLC (Andrew Ng's venture studio)	Product Marketing Manager	https://jobs.lever.co/AIFund/a1e364bb-687c-4cb0-8c36-aa4651939da2	jds/ai-fund-product-marketing-manager.md	us	3.4	no_deck	BUILD (downgrade)	unknown (TIER-3: no confirmed sponsorship history)	data/visa-cache.tsv	https://adhi-product-ai.vercel.app/ref/ai-fund	105
6sense	6sense Insights, Inc.	Partner Marketing Manager	https://boards.greenhouse.io/6sense/jobs/8055700?gh_jid=8055700	jds/6sense-partner-marketing-manager.md	us	3.4	no_deck	SPONSOR	$83,317.50-$122,199.00 -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/6sense-partner-marketing	141
KLA	KLA Corporation	Sales Operations Analyst	https://www.linkedin.com/jobs/view/4459254827	jds/kla-sales-operations-analyst.md	us	3.4	no_deck	TIER-1	$62,200-$105,700/yr	JD	https://adhithyabhaskar.vercel.app/ref/kla	
Fivetran	Fivetran Inc.	Staff Web Growth Marketing Manager	https://www.fivetran.com/careers/job?gh_jid=7807040003	jds/fivetran-staff-web-growth-marketing-manager.md	us	3.4	no_deck	TIER-1	$158,051-$197,563.50 (Oakland)	JD	https://adhi-growth-ai.vercel.app/ref/fivetran	
Vercel	Vercel Inc.	Growth Marketing Manager, Agent Stack	https://job-boards.greenhouse.io/vercel/jobs/6016765004	jds/vercel-growth-marketing-manager-agent-stack.md	us	3.3	no_deck	SPONSOR	$176,000-$220,000 -- JD stated	JD (stated range)	https://adhi-growth-ai.vercel.app/ref/vercel	146
Veeva Systems	Veeva Systems Inc.	Product Marketing - Associate Manager/Manager	https://jobs.lever.co/veeva/c695aa6e-5537-40a9-aedf-c35f6726dba3	jds/veeva-systems-product-marketing-associate-manager-manager.md	us	3.3	no_deck	BUILD	unknown (TIER-1, same employer verdict as row 102)	data/visa-cache.tsv	https://adhi-product.vercel.app/ref/veeva-systems	111
Seyfarth Shaw LLP	Seyfarth Shaw LLP	Strategic Pricing Manager	https://www.linkedin.com/jobs/view/4450766612	jds/seyfarth-shaw-strategic-pricing-manager.md	us	3.3	no_deck	SPONSOR	$150,000-$165,000 (SF) -- JD stated	JD (stated range)	https://adhi-pricing-ai.vercel.app/ref/seyfarth-shaw	124
